us,can
111211,111211
111219,111219
111332,-1
111333,-1
111334,-1
111335,-1
111422,111422
111991,-1
112511,-1
112512,-1
212111,21211
212112,21211
212113,21211
212221,212220
212222,212220
212231,212231
212234,212232
212291,212291
212311,-1
212312,212315
212325,-1
212391,-1
212392,-1
213111,213111
311211,311211
311212,-1
311511,311511
311513,-1
312113,-1
321911,321991
327991,-1
331313,-1
331315,-1
331512,331514
331513,331514
332111,-1
332321,332321
337121,337121
339992,-1
441222,441220
441228,441220
442291,442291
442299,-1
443141,44314
443142,44314
445291,445291
445292,445292
446191,446191
451211,451310
451212,451310
452111,452110
452112,452110
453991,-1
512132,-1
522291,522291
532111,532111
532112,532112
532292,-1
541211,541212
541213,541213
541512,541514
541614,-1
561439,-1
561591,-1
561611,561611
561621,561621
561622,561622
562212,-1
611692,-1
621391,-1
621991,-1
623311,623310
623312,623310
624221,-1
711212,-1
721191,721191
721199,721198
721211,721211
721214,721213
721310,721310
722511,722511
722513,722512
722514,-1
722515,-1
811192,811192
812111,812114
812112,812115
812113,-1
42,-1
42345,-1
4236,-1
42393,-1
4241,-1
4242,-1
4243,-1
4244,-1
92,-1
92111,-1
92112,-1
92113,-1
92211,-1
92212,-1
92213,-1
92214,-1
92216,-1
92612,-1
927,-1
